,depth,min,max,median,mean
182,255.0,1302.2,12893.31,10736.5,10693.54
183,256.0,1302.23,12965.54,10772.39,10732.31
184,257.0,1302.25,13058.68,10806.99,10771.08
185,258.0,1302.28,13151.81,10851.52,10809.86
186,259.0,1302.37,13158.97,10887.54,10847.02
187,260.0,1302.45,13166.13,10925.08,10884.17
188,261.0,1302.54,13173.29,10961.83,10921.33
189,262.0,1302.63,13180.45,10995.11,10958.49
190,263.0,1302.71,13237.77,11030.42,10995.65
191,264.0,1302.8,13290.47,11063.07,11027.57
192,265.0,1302.89,13343.17,11096.71,11059.49
193,266.0,1302.98,13395.87,11134.4,11091.41
194,267.0,1303.07,13448.58,11167.3,11123.33
195,268.0,1303.15,13501.28,11204.44,11155.25
196,269.0,1303.44,13659.12,11244.01,11193.72
197,270.0,1303.72,13816.96,11283.89,11232.19
198,271.0,1304.0,13974.8,11329.9,11270.66
199,272.0,1304.28,14132.64,11364.0,11309.13
200,273.0,1304.56,14290.47,11399.91,11347.6
201,274.0,1304.58,14369.58,11446.89,11387.67
202,275.0,1304.59,14448.68,11492.03,11427.74
203,276.0,1304.61,14527.78,11543.08,11467.81
204,277.0,1304.62,14606.88,11580.51,11507.88
205,278.0,1304.64,14685.98,11626.71,11547.95
